date,direction,pnl,outcome,reason,hour,dow,year,month,level,atr
2021-02-10,long,-100.00000000000205,loss,sl,23,2,2021,2021-02,1841.1950000000002,1.8523654760451411
2021-02-11,long,-99.99999999999895,loss,sl,2,3,2021,2021-02,1835.58,1.8305244135679197
2021-02-11,long,250.0,win,tp,3,3,2021,2021-02,1835.58,1.8433535968323898
2021-02-15,short,183.99622840858004,win,sl,13,0,2021,2021-02,1822.0485,1.8408792100189821
2021-02-15,short,184.48200397602034,win,sl,13,0,2021,2021-02,1822.0485,1.8197449807318846
2021-02-18,short,80.86803303402567,win,sl,7,3,2021,2021-02,1782.5939999999998,1.6952373167379944
2021-02-18,short,206.7215672947333,win,sl,11,3,2021,2021-02,1785.828,2.400479238576106
2021-02-23,short,81.08758004654182,win,sl,7,1,2021,2021-02,1812.7099999999998,2.277277321869051
2021-02-23,short,87.87225554707206,win,sl,13,1,2021,2021-02,1812.7099999999998,2.511490851757023
2021-02-23,long,88.66770374784885,win,sl,19,1,2021,2021-02,1803.2365,2.6269218316228415
2021-02-24,short,-99.99999999999943,loss,sl,1,2,2021,2021-02,1811.59,1.873163388753266
2021-02-24,long,149.64983773817173,win,sl,1,2,2021,2021-02,1809.7930000000001,1.83865171812804
2021-02-24,short,114.07069262590146,win,sl,3,2,2021,2021-02,1811.59,1.9896710709565346
2021-02-25,short,170.31421181616503,win,sl,0,3,2021,2021-02,1804.5214999999998,2.204796318782852
2021-03-01,short,-99.99999999999883,loss,sl,13,0,2021,2021-03,1740.0314999999998,3.7451732905861244
2021-03-01,short,86.33595797895492,win,sl,15,0,2021,2021-03,1740.0314999999998,4.199121204181246
2021-03-02,short,-99.9999999999978,loss,sl,11,1,2021,2021-03,1730.9954999999998,3.4526070456859848
2021-03-02,short,100.30387272936645,win,sl,14,1,2021,2021-03,1730.9954999999998,3.709448569562422
2021-03-04,short,-100.00000000000269,loss,sl,12,3,2021,2021-03,1720.1055000000001,3.074668107579245
2021-03-04,short,152.6579017000105,win,sl,15,3,2021,2021-03,1720.1055000000001,4.208236427605311
